Recom1,Recom2,Recom3,Recom4,Recom5
1.8,1.8,1.8,1.8,1.8
1.8,1.8,1.8,1.8,
26.9,26.9,18.9,,
3.0,3.0,10.9,12.9,
34.1,15.9,16.5,,
14.5,8.7,28.9,3.0,27.7
3.7,3.5,5.9,,
1.8,2.5,1.8,,
2.5,2.5,10.3,,
37.6,23.5,34.1,12.9,3.1
13.5,1.6,3.0,2.1,2.7
11.9,2.8,8.7,,
3.7,3.5,5.9,,
12.3,15.5,15.5,,
37.6,37.6,3.9,,
1.7,4.2,Sem Foto,,
14.9,13.5,,1.6,3.9
14.0,2.5,2.5,1.9,
38.4,35.9,29.9,,
6.6,3.5,5.9,,
18.9,13.9,15.5,7.4,
40.5,38.4,2.5,2.5,
13.9,2.7,2.5,,
3.7,3.5,5.9,,
13.5,24.9,9.9,,
26.9,6.4,23.9,26.9,26.9
5.3,1.5,8.2,13.9,
1.7,Sem Foto,3.1,,
12.3,39.4,27.3,39.4,13.9
12.3,14.5,11.9,,
27.1,1.4,1.5,16.4,
1.4,1.8,2.5,,
13.5,13.5,9.9,,
39.4,34.1,24.9,24.9,46.5
3.7,3.5,5.9,,
2.6,4.5,3.9,1.9,
23.5,2.5,9.9,,
41.5,3.1,1.9,,
23.9,18.3,1.8,,
2.7,2.5,2.7,,
17.5,10.9,15.5,,
30.2,29.2,34.1,25.9,
3.0,3.0,8.9,8.9,18.9
2.7,2.5,2.7,2.5,
28.1,27.1,27.1,30.9,
3.7,3.5,5.9,,
14.9,3.0,3.0,3.0,24.9
9.9,1.7,4.2,,
13.5,15.5,15.5,,
2.7,2.7,1.9,,
13.5,1.7,Sem Foto,,
28.1,27.1,30.9,35.9,1.7
1.7,4.2,Sem Foto,,
3.7,5.9,9.9,,
28.9,16.4,27.7,17.4,26.4
1.5,9.9,1.7,,
46.5,1.6,1.5,,
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,
27.9,25.9,13.9,17.9,
10.7,12.5,14.9,3.9,
40.5,42.2,39.5,38.4,
13.5,39.4,27.3,,
28.9,13.5,27.1,27.1,35.9
38.4,11.9,39.4,27.3,11.9
3.7,3.5,5.9,1.9,
6.6,20.8,15.4,,
1.8,1.8,1.8,1.8,
1.8,1.8,1.8,1.8,1.8
3.7,3.5,5.9,,
27.9,25.9,18.9,15.4,1.7
3.0,3.0,3.0,13.5,
1.6,9.0,1.8,1.8,
1.7,4.2,Sem Foto,,
16.4,17.5,27.1,27.1,35.9
46.6,12.5,1.9,,
1.5,1.8,1.8,,
9.9,1.7,4.2,Sem Foto,
7.5,15.5,2.5,1.6,2.5
1.8,1.8,1.8,1.8,
13.5,13.5,1.7,3.1,
6.4,9.0,17.9,,
1.5,8.2,8.2,13.9,5.3
6.6,2.8,12.5,14.5,11.9
13.5,17.8,2.5,2.5,
10.9,13.5,8.7,18.9,10.9
13.5,18.3,3.7,,
1.7,4.2,Sem Foto,,
3.7,5.9,38.9,,
37.9,28.4,6.3,,
26.9,26.9,8.9,8.9,1.8
1.7,4.2,Sem Foto,,
12.9,5.3,8.2,8.2,
39.4,39.4,24.9,,
5.3,1.5,9.9,8.2,
1.5,8.2,8.2,13.9,5.3
3.7,1.7,Sem Foto,,
2.8,3.9,1.7,,
37.6,25.9,37.6,,
5.3,1.5,8.2,,
46.5,1.8,1.8,1.8,1.8
5.3,1.5,1.7,1.9,
39.4,27.3,39.4,,
16.4,17.5,6.4,10.9,10.9
11.9,8.9,46.5,8.9,15.9
8.9,8.9,35.9,30.9,
39.4,1.6,14.0,,
13.5,13.5,13.9,,
5.3,1.5,8.2,8.2,5.3
28.4,5.3,1.5,,
27.1,27.9,25.9,3.7,28.4
13.9,13.5,9.9,1.7,Sem Foto
37.6,26.9,34.1,26.9,2.6
49.9,1.8,1.8,1.8,
26.9,27.1,27.9,25.9,13.9
30.2,29.2,25.9,13.5,1.4
11.9,15.0,3.9,7.4,1.9
8.3,1.7,Sem Foto,,
6.6,34.1,1.8,,
28.9,27.7,21.5,,
13.5,39.4,27.3,39.4,5.7
8.7,2.5,2.5,10.9,
32.5,12.9,13.5,,
14.5,2.5,2.5,2.5,38.9
16.4,16.9,1.7,1.9,
15.29,14.5,10.9,,
19.5,13.5,13.5,,
34.1,1.7,4.2,Sem Foto,
13.5,17.9,9.9,1.9,
3.7,3.5,5.9,,
10.9,17.9,3.7,,
42.2,42.2,1.7,Sem Foto,
11.9,12.3,7.4,,
13.9,13.5,3.0,3.0,
1.8,1.8,1.8,1.8,1.8
27.9,15.0,17.9,16.4,
46.6,13.5,13.5,38.9,
6.4,1.7,Sem Foto,,
46.5,12.9,9.9,,
34.1,37.9,1.7,,
3.0,3.0,1.6,3.9,1.9
16.4,14.0,2.8,16.6,
6.4,3.7,4.5,3.5,
29.1,34.1,13.5,,
1.8,1.8,1.8,1.8,
12.5,26.9,26.9,1.6,
27.3,1.6,1.9,1.7,
2.1,1.6,1.9,,
13.5,2.5,12.9,2.5,1.6
3.7,3.5,5.9,,
1.6,1.5,1.7,,
27.7,26.4,21.5,,
6.3,10.9,10.3,3.1,1.9
27.1,27.1,35.9,30.9,
10.9,1.6,1.5,,
6.6,16.6,38.9,,
3.7,3.5,5.9,,
13.5,24.9,1.6,9.9,
6.3,10.9,17.9,,
9.9,1.7,4.2,,
13.5,12.5,1.8,1.8,
6.4,2.7,1.7,3.1,1.9
41.5,2.8,8.9,3.0,8.9
15.29,10.9,18.3,,
3.7,3.5,5.9,,
24.9,1.6,1.8,1.8,1.8
10.9,3.0,3.0,1.6,3.0
2.5,2.5,1.9,,
1.7,4.2,Sem Foto,,
17.4,15.5,15.5,,
2.8,12.5,5.3,8.2,
26.9,3.7,7.4,,
34.1,2.5,2.5,1.6,
6.6,,9.0,1.7,
1.4,1.8,1.8,,
14.9,10.9,24.9,,
28.7,25.9,26.9,8.9,8.9
34.1,14.9,28.4,3.7,
28.9,27.7,21.5,,
1.6,2.5,1.8,,
3.0,3.0,3.9,,
13.5,10.9,13.5,13.9,
42.2,42.2,46.5,1.7,
36.9,36.9,38.9,,
17.8,13.9,1.9,,
26.9,12.5,23.9,3.9,1.9
8.9,1.8,1.8,,
14.0,7.4,10.3,,
14.5,6.3,17.9,,
13.5,12.3,3.9,,
1.9,5.3,1.5,8.2,
7.5,28.1,27.1,30.9,
3.0,3.0,5.3,1.5,8.2
3.7,3.5,5.9,,
39.4,27.3,39.4,13.5,
12.3,14.5,1.8,1.8,
27.7,11.9,3.9,1.9,
1.7,4.2,Sem Foto,,
1.8,1.8,1.8,1.8,
8.7,8.7,3.7,1.7,
2.5,3.0,3.0,2.5,
2.5,2.5,2.7,1.8,
10.9,15.0,14.5,9.0,
1.8,1.8,1.8,1.8,1.8
5.3,1.5,8.2,13.9,
13.5,3.0,3.0,12.9,
13.5,10.9,8.7,24.9,
10.7,6.6,1.8,1.8,
14.0,1.7,4.2,Sem Foto,
39.4,27.3,12.5,12.3,13.9
13.5,6.6,12.9,1.9,
27.3,24.9,23.9,13.9,
4.5,1.7,4.2,Sem Foto,
39.4,28.1,6.4,27.1,35.9
2.8,13.9,1.6,3.7,
30.2,29.2,26.8,,
3.7,3.5,5.9,,
2.5,1.8,2.5,1.8,
1.8,1.8,1.8,1.8,
2.1,3.1,3.0,8.9,
1.7,4.2,Sem Foto,,
28.1,27.1,27.1,30.9,
5.3,1.5,9.9,8.2,
38.4,35.9,29.9,9.9,
3.7,3.5,5.9,,
26.9,26.9,37.6,28.9,37.6
11.9,1.5,8.2,8.2,13.9
3.7,3.5,5.9,,
24.9,12.9,3.7,3.5,
2.1,1.5,1.9,,
3.0,3.0,2.7,2.7,3.0
38.9,1.7,Sem Foto,,
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
27.1,27.1,30.9,,
15.5,15.5,38.9,,
1.7,4.2,Sem Foto,,
28.9,27.7,26.4,16.6,3.7
1.8,1.8,1.8,1.8,
15.5,1.6,16.4,1.8,
13.5,14.9,13.5,18.9,16.6
16.4,1.6,1.8,1.8,
13.5,6.6,38.9,,
7.4,15.9,16.5,,
1.8,1.8,1.8,1.8,
37.6,37.6,,,
13.5,1.7,4.2,,
2.5,2.5,2.5,2.5,
3.9,38.9,1.7,,
3.7,3.5,5.9,,
15.5,12.3,10.9,1.7,
13.5,3.0,3.0,13.5,
2.7,15.9,1.6,16.5,
17.4,1.6,15.5,3.9,
26.8,25.9,3.1,,
3.7,3.5,5.9,,
13.5,1.7,3.1,,
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,
34.1,8.7,8.7,7.4,
8.7,8.7,3.1,1.7,
28.9,27.7,26.4,3.9,
36.9,12.5,8.9,8.9,
13.9,13.9,29.9,17.8,13.9
11.9,24.9,11.9,,
3.7,3.5,5.9,,
28.9,28.1,27.1,38.9,
3.7,3.5,5.9,,
36.9,36.9,2.8,,
1.4,1.5,16.6,3.1,
39.4,24.9,14.0,9.9,
5.3,1.5,8.2,8.2,13.9
13.5,16.6,3.9,1.7,
2.7,2.7,1.7,Sem Foto,
37.6,34.1,1.7,Sem Foto,
13.5,2.5,3.0,12.5,3.0
1.7,Sem Foto,38.9,,
28.1,27.1,27.1,30.9,35.9
2.5,2.5,2.5,2.5,
10.7,13.9,10.45,,
39.4,27.3,24.9,,
36.9,13.9,2.7,15.5,15.5
12.9,3.7,3.5,5.9,
26.8,1.8,2.5,2.5,
1.5,1.7,Sem Foto,,
49.9,2.5,2.5,,
3.7,3.5,5.9,,
16.6,13.9,5.3,1.5,
6.6,1.7,4.2,Sem Foto,
15.29,2.7,12.3,1.8,
9.9,1.7,Sem Foto,,
6.6,1.5,1.7,,
3.7,3.5,5.9,,
3.0,1.4,3.0,1.5,3.0
3.7,3.5,5.9,,
34.1,13.9,2.5,2.5,2.5
2.5,2.5,2.5,,
2.7,2.7,5.3,1.5,8.2
1.6,1.5,1.7,,
26.4,21.5,9.9,,
28.1,27.1,13.9,27.1,
11.9,15.0,1.8,,
28.1,27.1,35.9,3.1,
3.1,5.9,1.9,,
2.5,2.5,3.7,1.9,
16.6,4.2,3.9,1.9,
3.7,3.5,5.9,,
6.6,14.5,11.9,,
28.9,27.7,21.5,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
18.3,1.7,4.2,,
30.2,29.2,25.9,,
10.45,1.8,1.8,1.8,
11.9,2.1,27.9,25.9,13.5
24.9,25.9,3.9,1.7,
8.1,10.9,9.9,13.5,24.9
17.9,3.7,3.5,5.9,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
6.4,37.6,37.6,,
17.0,1.7,3.1,,
13.5,3.7,3.9,1.7,
5.3,1.5,8.2,13.9,5.3
27.9,25.9,16.6,1.7,
1.9,9.9,Sem Foto,,
26.9,37.6,37.6,,
11.9,15.0,23.9,,
1.7,4.2,Sem Foto,,
1.8,3.7,1.8,,
18.3,1.7,Sem Foto,,
16.4,16.9,1.7,4.2,
15.29,13.5,24.9,,
2.7,2.5,2.5,2.5,
16.4,15.9,16.5,14.0,
3.7,3.5,5.9,,
7.4,1.7,Sem Foto,,
6.6,3.7,3.5,5.9,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
2.5,2.5,5.3,,
30.2,29.2,25.9,18.3,
8.9,15.0,8.9,17.8,
1.6,16.4,3.7,3.5,
1.8,1.8,1.8,,
42.2,40.5,1.6,2.5,
13.5,1.8,1.8,1.8,
1.7,4.2,Sem Foto,,
12.9,3.7,3.5,5.9,
27.1,2.5,2.5,1.8,
17.9,3.9,4.2,5.3,1.5
19.5,12.9,11.9,10.3,3.9
10.9,13.5,1.6,1.5,
11.3,15.0,1.9,,
1.7,Sem Foto,4.2,,
2.7,1.7,4.2,Sem Foto,
1.7,4.2,Sem Foto,,
5.3,1.5,8.2,8.2,13.9
1.7,4.2,Sem Foto,,
14.5,12.9,1.8,11.9,
1.7,4.2,Sem Foto,,
15.4,1.9,1.7,,
1.4,27.1,27.1,16.4,35.9
3.5,46.5,6.3,,
19.5,40.5,1.6,3.9,
3.7,3.5,5.9,,
28.6,34.1,26.4,21.5,
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
40.5,38.4,1.9,,
28.9,39.4,39.4,28.1,2.8
2.7,2.7,3.1,1.9,
13.5,13.5,5.3,1.5,
6.4,9.0,9.9,1.7,
38.4,35.9,29.9,,
5.3,1.5,8.2,8.2,13.9
12.9,3.5,5.9,,
6.4,9.0,3.7,1.6,
3.7,3.5,5.9,,
1.8,1.8,1.6,1.8,
28.7,25.9,29.5,1.6,
27.1,27.1,35.9,,
2.7,2.5,10.45,2.5,
1.7,4.2,Sem Foto,,
13.5,14.9,17.9,17.0,
2.6,4.5,3.1,1.9,
24.9,24.9,1.8,1.8,
28.9,27.7,21.5,,
1.8,1.8,1.8,1.8,1.8
27.9,25.9,9.9,,
18.9,7.4,1.7,4.2,
10.8,13.9,3.0,13.9,3.0
34.1,1.9,3.1,,
5.3,1.5,1.9,8.2,8.2
24.9,13.5,16.4,1.9,
13.5,1.8,1.8,12.3,
5.3,1.5,8.2,8.2,13.9
1.8,1.8,1.8,1.8,
10.9,6.6,7.4,,
34.1,2.8,16.6,14.0,5.3
2.7,1.7,4.2,Sem Foto,
1.7,4.2,Sem Foto,,
14.5,11.9,12.9,6.6,
1.7,4.2,Sem Foto,,
12.9,13.9,26.9,30.2,
1.7,4.2,Sem Foto,,
28.9,37.6,34.1,27.1,5.7
1.8,1.8,1.8,1.8,
26.9,26.9,9.9,,
1.8,1.8,1.8,1.8,
34.1,40.5,8.7,1.6,
27.3,24.9,27.1,27.1,30.9
27.1,27.1,35.9,30.9,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,
1.7,4.2,Sem Foto,,
1.8,1.8,1.8,1.8,
37.6,34.1,1.9,,
2.7,1.8,1.8,1.8,
3.7,3.5,5.9,,
6.6,1.4,27.1,27.1,35.9
2.1,8.9,8.9,,
3.7,3.5,5.9,,
1.9,1.7,4.2,,
39.4,38.4,24.9,29.9,3.7
1.8,1.8,1.8,,
3.7,3.5,5.9,,
3.9,1.7,4.2,Sem Foto,
39.4,38.4,27.3,24.9,29.9
10.7,6.4,3.1,,
9.9,1.7,Sem Foto,,
3.7,3.5,5.9,,
7.4,13.5,5.3,,
1.8,1.8,1.8,1.8,1.8
2.5,2.5,1.6,,
13.5,24.9,13.5,15.0,13.5
12.9,11.9,35.9,1.8,1.8
11.9,15.4,38.9,,
13.5,28.9,27.7,17.0,26.4
3.7,3.5,5.9,,
13.9,15.0,17.8,13.9,1.9
27.1,27.1,35.9,30.9,
11.9,8.9,7.4,1.9,
1.8,1.8,1.8,1.8,
11.9,1.4,1.5,,
8.9,6.6,1.7,,
37.6,34.1,3.9,5.3,1.5
3.7,3.5,5.9,,
24.9,1.8,1.8,1.8,1.8
14.5,10.9,9.0,,
40.5,1.6,1.9,,
17.9,10.9,8.9,,
12.9,14.0,1.7,4.2,
11.3,15.0,38.9,,
14.5,11.9,5.3,1.5,17.9
9.8,12.5,17.9,,
36.9,34.3,8.7,8.7,
2.5,2.7,2.5,14.0,
3.7,3.5,5.9,,
20.8,14.5,8.3,11.9,
24.9,1.6,38.9,,
18.3,1.7,4.2,Sem Foto,
26.9,42.2,42.2,16.9,
3.7,3.5,5.9,1.9,3.1
28.9,26.9,28.1,5.7,1.7
12.3,3.0,3.0,3.0,
2.5,2.5,16.4,2.5,
26.9,26.9,28.9,13.9,27.1
1.7,4.2,Sem Foto,,
27.1,27.1,35.9,30.9,
1.7,4.2,Sem Foto,,
11.9,16.4,7.4,,
19.5,28.1,24.9,8.7,27.1
2.5,2.5,1.7,Sem Foto,
16.4,14.5,14.9,16.4,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
2.1,1.4,1.5,2.5,
19.5,4.5,1.7,,
1.6,16.4,1.8,1.8,
13.5,1.7,4.2,Sem Foto,
2.7,2.5,1.8,2.7,2.5
13.9,3.7,13.9,9.9,
3.7,3.5,5.9,,
38.4,24.9,34.1,39.4,27.3
3.7,3.5,5.9,,
13.5,2.5,2.5,,
1.4,1.8,1.8,1.8,1.8
39.4,34.1,27.3,39.4,
5.3,1.5,3.1,1.9,8.2
3.7,3.5,5.9,,
2.8,13.9,17.8,13.9,
10.9,17.0,24.9,18.3,
27.1,27.1,35.9,30.9,
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,38.9,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
28.9,27.7,27.9,25.9,26.4
6.4,10.9,10.9,1.6,
16.5,12.3,13.9,,
11.9,10.3,3.9,17.9,
2.7,1.8,1.8,1.8,
7.4,15.9,16.5,16.9,
1.7,17.9,9.9,,
2.1,1.9,5.3,1.5,
42.2,42.2,12.9,,
3.1,1.9,38.9,1.7,Sem Foto
3.7,3.5,5.9,,
14.0,1.7,4.2,Sem Foto,
14.5,17.9,11.9,,
3.5,1.7,Sem Foto,3.1,
13.5,24.9,24.9,12.3,
3.7,3.5,5.9,,
15.29,3.7,2.5,,
37.9,24.9,1.9,,
13.9,13.5,1.8,1.9,
25.9,25.9,38.9,,
12.5,17.8,13.9,,
1.6,7.4,4.2,,
10.7,13.5,13.5,38.9,
17.4,15.5,15.5,,
10.9,8.7,8.7,,
13.9,5.3,1.5,8.2,8.2
1.7,Sem Foto,3.1,,
16.6,1.7,4.2,Sem Foto,
1.7,4.2,Sem Foto,,
3.1,1.9,38.9,,
2.5,2.5,3.9,1.9,
13.5,10.45,17.9,38.9,
30.2,29.2,25.9,16.4,1.8
2.7,2.7,1.7,1.9,
10.9,14.5,11.9,1.6,2.6
12.9,1.5,1.9,3.1,
8.7,8.7,12.3,,
1.7,4.2,Sem Foto,,
3.1,1.5,1.9,8.2,8.2
36.9,34.3,29.1,,
28.9,13.5,12.9,27.7,
14.5,10.9,2.7,7.4,1.9
5.3,1.5,8.2,,
34.1,,1.7,Sem Foto,
3.7,3.5,5.9,,
30.2,29.2,26.8,3.9,1.9
3.7,3.5,5.9,,
42.2,26.8,39.5,13.5,
8.7,3.0,10.9,,
1.6,1.5,38.9,1.7,
13.5,14.5,11.9,,
1.8,1.8,1.8,1.8,1.8
3.9,14.0,38.9,,
17.5,12.5,1.5,1.7,
1.6,1.7,Sem Foto,,
1.5,1.7,Sem Foto,,
1.6,1.8,2.5,2.5,
28.1,10.9,27.1,27.1,30.9
1.8,1.8,1.8,1.8,
29.1,12.9,1.7,Sem Foto,
14.9,18.9,3.9,1.7,4.2
1.8,1.8,1.8,1.8,
28.1,27.1,27.1,,
3.7,3.5,5.9,,
25.9,24.9,13.9,,
37.9,18.3,3.7,3.5,
42.2,39.5,12.3,,
12.5,3.7,3.5,5.9,
10.3,3.1,1.9,9.9,
25.9,1.7,4.2,Sem Foto,
12.3,12.9,17.0,1.6,16.6
28.9,28.1,27.1,,
3.7,3.5,5.9,,
16.9,1.7,4.2,Sem Foto,
10.9,8.9,10.45,,
38.4,35.9,29.9,,
17.4,15.5,15.5,4.2,
9.8,14.5,13.5,2.5,2.5
14.0,8.7,8.7,3.7,3.5
11.9,1.7,Sem Foto,,
26.9,6.6,37.6,26.9,
40.5,17.0,10.9,,
8.3,15.4,3.9,,
2.5,2.5,2.5,,
6.6,6.4,8.3,17.9,
1.7,4.2,Sem Foto,,
39.4,27.3,39.4,,
13.5,13.9,3.7,3.5,
2.8,5.3,8.2,8.2,
2.5,1.6,2.5,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
12.9,2.5,2.5,3.9,
39.4,36.9,34.3,27.3,
11.9,1.6,7.4,,
8.7,8.7,5.7,2.7,
1.8,1.8,1.8,,
11.9,14.0,16.6,7.4,
11.9,1.6,1.7,Sem Foto,
14.9,13.5,24.9,12.9,13.5
13.5,3.1,1.9,,
27.7,26.4,21.5,2.6,4.5
1.8,1.8,1.8,,
6.3,15.4,,1.9,
27.9,13.5,25.9,13.5,3.1
10.7,2.5,2.5,,
42.2,42.2,2.5,2.5,2.5
13.9,13.5,1.9,,
1.8,1.8,1.8,1.8,1.8
12.9,1.6,1.5,,
12.5,3.7,1.6,7.4,10.3
13.5,2.7,2.7,1.9,
1.8,1.8,1.8,,
1.7,4.2,Sem Foto,,
6.3,1.7,3.1,Sem Foto,
36.9,34.3,1.7,Sem Foto,
3.7,3.5,5.9,,
39.4,27.3,24.9,,
3.7,3.5,5.9,,
1.6,12.9,1.5,1.9,
25.9,25.9,1.6,3.1,
13.5,4.2,5.3,1.5,8.2
13.9,3.9,1.7,4.2,
38.4,35.9,29.9,1.7,
1.6,1.7,Sem Foto,3.1,
28.7,25.9,26.9,28.4,
13.9,7.4,17.8,,
3.7,5.9,1.9,,
17.5,4.2,9.9,,
13.5,8.9,8.9,3.9,
1.7,4.2,Sem Foto,,
11.9,10.3,38.9,,
27.7,26.4,46.5,21.5,1.6
2.5,2.5,1.6,1.9,1.5
1.7,4.2,Sem Foto,,
17.4,15.5,3.7,5.9,
1.6,16.4,3.7,,
13.5,15.9,16.5,,
1.6,2.5,2.5,1.8,
6.4,14.0,1.9,,
11.9,12.3,7.4,,
14.5,1.6,7.4,15.9,16.5
2.7,2.7,13.5,,
6.4,13.5,15.4,3.1,1.9
1.7,4.2,Sem Foto,,
17.0,20.8,1.9,,
15.0,1.8,1.8,1.8,
24.9,46.5,4.2,,
2.7,2.5,2.5,2.5,2.5
28.1,27.1,27.1,13.5,
3.7,3.5,5.9,,
5.7,1.7,4.2,,
12.3,2.5,2.5,2.5,1.6
38.4,27.3,35.9,24.9,29.9
39.4,27.3,42.1,26.9,
27.1,35.9,30.9,,
17.9,3.7,9.9,,
3.7,3.5,5.9,,
13.5,13.5,9.9,,
27.1,13.9,35.9,30.9,
2.5,2.5,2.5,3.9,
15.9,16.5,1.9,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
34.1,37.9,28.4,,
15.9,16.5,1.9,,
12.9,3.7,3.5,5.9,
10.9,1.7,17.9,,
5.3,1.5,8.2,8.2,
14.5,11.9,1.7,Sem Foto,
39.4,27.3,37.6,13.5,37.6
27.9,25.9,27.1,27.1,35.9
40.5,38.4,14.0,23.9,13.5
1.8,1.8,1.8,1.8,
1.7,4.2,Sem Foto,,
46.6,2.7,2.7,1.9,
3.7,3.5,5.9,,
1.8,1.6,1.8,1.8,
17.9,1.5,1.9,8.2,
10.9,2.5,2.5,,
13.9,17.8,1.7,4.2,
15.29,15.5,15.5,,
39.4,27.3,39.4,28.4,
14.5,9.0,7.4,,
6.4,1.6,1.9,,
1.7,4.2,Sem Foto,,
1.5,3.1,1.9,,
1.7,4.2,Sem Foto,,
39.4,24.9,4.2,,
3.7,15.4,3.5,5.9,
3.7,3.5,5.9,,
24.9,13.5,24.9,1.9,
1.5,17.9,8.2,8.2,13.9
3.7,3.5,5.9,,
2.7,2.7,1.8,1.8,
13.5,13.5,23.9,3.1,3.1
28.9,30.2,27.1,29.2,28.1
39.4,40.5,27.3,42.1,41.5
8.7,8.7,14.0,1.7,3.1
17.9,14.0,1.7,,
2.1,1.7,Sem Foto,,
39.4,27.3,39.4,23.9,18.9
2.5,2.5,1.7,4.2,
13.5,1.7,Sem Foto,,
42.2,12.9,8.9,8.9,
40.5,38.4,34.1,1.7,Sem Foto
2.5,2.5,2.5,,
1.4,24.9,2.7,10.9,2.7
2.5,2.5,2.7,,
13.5,1.9,9.9,,
26.9,26.9,46.5,1.6,1.5
11.9,7.4,3.9,5.3,
3.7,3.5,5.9,,
2.1,6.3,3.7,3.5,5.9
14.5,2.5,11.9,13.5,
14.5,11.9,1.6,3.7,
38.9,1.7,Sem Foto,,
28.9,27.7,2.8,35.9,24.9
29.5,26.9,1.8,1.8,1.8
1.8,13.5,1.8,1.8,
39.5,30.2,29.2,26.8,16.6
15.29,10.9,20.8,1.6,
16.6,1.9,9.9,,
2.5,1.5,1.9,,
10.9,24.9,1.8,1.8,1.8
1.5,8.2,8.2,13.9,5.3
1.7,Sem Foto,3.1,,
24.9,37.9,1.7,4.2,
25.9,20.8,37.9,26.9,
26.9,26.9,4.2,,
24.9,39.4,27.3,39.4,3.7
12.9,14.0,1.7,,
10.9,1.9,1.7,,
1.7,4.2,Sem Foto,,
16.4,9.9,3.0,24.9,3.0
17.4,11.9,41.5,15.5,
3.7,3.5,5.9,,
28.9,26.4,28.1,,
28.9,28.1,27.1,,
39.4,27.3,24.9,3.9,
1.8,1.8,1.8,1.8,1.8
13.5,13.5,3.9,,
30.2,29.2,26.8,,
14.0,11.9,1.7,,
30.2,29.2,25.9,,
10.9,14.9,18.9,,
2.5,2.5,2.5,2.5,
28.9,26.4,35.9,21.5,
26.4,21.5,3.7,3.5,5.9
11.9,12.9,10.45,3.7,
1.6,3.1,1.9,1.7,Sem Foto
3.7,3.5,5.9,,
10.9,13.5,8.9,17.9,
6.4,11.9,6.4,6.6,9.0
13.5,13.5,8.9,17.9,1.8
27.1,35.9,30.9,,
6.4,9.0,1.5,,
3.9,5.3,1.5,17.9,8.2
11.9,5.7,2.5,1.6,
10.45,1.8,1.8,1.8,
7.4,1.9,1.7,,
3.1,3.0,3.0,2.5,2.5
3.7,3.5,5.9,,
1.8,1.8,1.8,1.8,
6.4,24.9,10.9,,
39.4,13.5,13.9,1.4,24.9
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
10.9,8.7,8.7,,
28.9,27.7,26.4,24.9,
16.4,13.9,14.9,16.4,3.7
5.3,8.2,8.2,13.9,
13.9,17.8,13.9,,
1.7,4.2,Sem Foto,,
37.6,28.1,34.1,27.1,27.1
1.7,4.2,Sem Foto,,
28.9,27.7,21.5,9.9,
3.7,3.5,5.9,,
6.4,15.5,6.4,10.9,
1.7,4.2,Sem Foto,,
5.3,1.5,8.2,8.2,5.3
17.4,1.4,14.9,15.5,3.9
2.1,,2.7,5.3,
17.9,1.8,1.8,1.8,
13.5,12.9,2.7,12.9,
3.7,3.5,5.9,,
13.5,1.7,Sem Foto,,
13.5,11.9,2.5,13.5,8.7
3.1,1.7,Sem Foto,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
17.5,17.4,15.5,,
10.9,24.9,27.1,35.9,30.9
9.8,13.5,1.7,4.2,
17.4,11.9,15.5,,
28.1,27.1,27.1,30.9,35.9
49.9,2.8,1.6,,
3.5,16.9,5.9,1.5,
1.7,4.2,Sem Foto,,
3.0,3.0,3.0,5.3,
1.4,1.5,18.3,1.8,
3.0,3.0,3.0,,
2.5,2.5,2.5,,
1.8,1.8,1.8,,
1.8,1.8,1.8,1.8,
1.7,Sem Foto,4.2,,
5.3,1.5,8.2,8.2,13.9
1.8,1.8,1.8,1.8,
1.7,4.2,Sem Foto,,
3.9,1.7,Sem Foto,,
13.5,8.3,4.5,17.9,
10.9,14.5,11.9,,
13.5,24.9,10.9,16.6,
3.7,3.5,5.9,,
5.3,1.5,8.2,8.2,5.3
1.7,Sem Foto,3.1,,
46.5,3.7,1.6,1.5,
3.7,3.5,5.9,,
3.7,3.9,1.9,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
27.1,35.9,30.9,,
36.9,36.9,13.5,2.7,
28.9,6.6,28.1,21.5,27.1
Sem Foto,13.5,6.6,3.7,3.5
3.7,3.5,5.9,,
27.1,27.1,15.5,5.3,
3.7,3.5,5.9,,
10.9,3.7,3.5,5.9,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
9.8,13.5,1.6,1.9,
9.9,1.7,Sem Foto,,
3.7,3.5,5.9,,
23.9,1.6,1.7,,
2.5,2.5,1.9,,
4.2,5.3,1.5,8.2,8.2
38.9,1.7,Sem Foto,,
17.5,24.9,23.9,2.7,1.6
12.9,2.5,2.5,,
40.5,39.4,38.4,27.3,24.9
3.7,3.5,5.9,,
